Episode,Link,Podcast,Guest(s),Host,Podcast link,Tags,Type
HBiF IAFSS W1 - Why is my paper getting rejected,https://www.youtube.com/watch?v=q-hydfXmL9w&t=2s,,,,,academic publishing process; editorial decision-making; human behavior in fire; fire safety science journals; peer review transparency; manuscript rejection reasons; scientific paper criteria; editorial roles and responsibilities; journal submission guidelines; scientific rigor in publishing; academic writing standards; peer review feedback mechanisms; manuscript evaluation process; editor and reviewer dynamics; collaborative academic environments; publishing; editorial; manuscript; rejection; criteria; rigor; transparency; feedback; evaluation; dynamics; collaboration; academia; standards; process; environment,YouTube
HBiF IAFSS W10 - Early career researchers on crowd evacuation,https://www.youtube.com/watch?v=2v1PKWfxehM,,,,,UN behavior in fires; International Association of Fire Safety Science; fire safety webinar series; global time zone accommodation; ongoing research activities; microscopic pedestrian movement; crowd dynamics modeling; fire engineer career; privacy in emergencies; genetic privacy research; emergency behavior via VR; evacuation reporting template; standardized reporting frameworks; legal ramifications of emergency drills; emergency preparedness and response; mathematical modeling of crowd movement; fire safety engineering; experimental methods in fire safety; social psychology in evacuation; decision-making in emergencies; influence of psychological factors on behavior; designing evacuation procedures; qualitative and quantitative evacuation data; webinar; UN; fire; research; global; timezones; activities; movement; dynamics; engineering; privacy; VR; emergencies; genetics; behavior; template; legal; drills; modeling; psychology; decision-making; procedures; data; quantitative; qualitative; virtual reality,YouTube
HBiF IAFSS W2 - How to write a good peer review for HBiF papers,https://www.youtube.com/watch?v=YqXFT0TAR8U,,,,,peer review process; human behavior in fire; writing good reviews; interdisciplinary research contributions; peer review guidelines; academic publishing ethics; review recommendations; editorial decision-making; reviewer feedback mechanisms; language and grammar in scholarly articles; manuscript evaluation criteria; ethical considerations in reviewing; peer reviewer responsibilities; research paper evaluation; peer review; publishing; methodology; ethics; feedback; evaluation; manuscript; academia; guidelines; contributions; interdisciplinary; standards; recommendations; responsibility,YouTube
HBiF IAFSS W3 - The (mis)use of controversial terminologies in evacuation research,https://www.youtube.com/watch?v=757LZYBQcXU,,,,,misuse of controversial terminologies; fire safety science; evacuation research terminology; social identity approach; pedestrian simulation; crowd dynamics research; collective behavior in emergencies; media influence on terminology; terminology in academic literature; panic and evacuation behavior; irrational behavior during evacuations; group dynamics in emergencies; critique of panic and contagion theories; social influence versus contagion; evacuation; terminology; panic; contagion; irrationality; herding; behavior; emergencies; simulation; influence; dynamics; psychology; methodology,YouTube
HBiF IAFSS W6 - Common mistakes in the statistical analysis of evacuation data,https://www.youtube.com/watch?v=OTh5rcgTgmA,,,,,human behavior in fire webinar series; statistical analysis of evacuation data; evacuation modeling; simulation data analysis; statistical model checking; experimental design in evacuation studies; probabilistic analysis in model validation; statistical power in study design; data collection in evacuation research; ethical considerations in research; publishing raw data and code; effect size significance in evacuation studies; pre-registration of studies; evacuation; modeling; statistics; analysis; simulation; data; research; ethics; publishing; validation; reproducibility; assumptions; convergence,YouTube
HBiF IAFSS W7 - Evacuation of preschool children What Makes It Special,https://www.youtube.com/watch?v=0HynIhSB0tY,,,,,preschool children evacuation; human verifiers group; International Association for Fire Safety Science; fire safety research; evacuation dynamics; behavior of preschool children; early childhood educational institutions; emergency evacuation conditions; developmental stages of childhood; child development in emergencies; fire safety design; evacuation experiments; evacuation modeling; ethical considerations in research; evacuation; children; preschool; research; dynamics; safety; fire; behavior; education; institutions; emergencies; development; modeling; ethics,YouTube
HBiF IAFSS W8 - From Disability to Heterogeneity,https://www.youtube.com/watch?v=8VqSft4spcI,,,,,visibility from disability to heterogeneity; impact of disabilities on evacuation; pedestrian dynamics in crowds; influence of individual characteristics on crowd movement; empirical experiments in pedestrian dynamics; research on pedestrian behavior; optimization of evacuation planning; interdisciplinary approaches in fire safety; modeling pedestrian dynamics in emergency evacuations; ethical considerations in disaster research; data collection in human fire safety science; disability; heterogeneity; evacuation; pedestrians; crowd; behavior; experiments; research; optimization; interdisciplinary; modeling; ethics; safety; dynamics; emergency,YouTube
HBiF IAFSS W9 - Human Behaviour in wildfire evacuation,https://www.youtube.com/watch?v=Rv0N8Hdn7a4,,,,,human behavior in wildfires; wildfire evacuation challenges; data collection in disaster scenarios; resilient and sustainable mobility; transportation and evacuation; equitable transportation systems; disaster and emergency decision-making; behavioral data in disaster response; qualitative and quantitative research methods; integrating behavioral data collection methods; ethical considerations in disaster research; community-based disaster preparedness; improving government and industry disaster response; resilience in transportation planning; disaster survivors' experiences; evacuation order effectiveness; wildfire; evacuation; resilience; sustainability; transportation; equity; data; behavior; qualitative; quantitative; ethics; community; government; industry; planning; disaster; recovery; strategies; challenges; compliance; congestion; outcomes; analysis; bias; integration,YouTube
HBiF IAFSS W4 - Machine learning in evacuation research - What can and cannot we do,https://www.youtube.com/watch?v=pZ0idOp64rQ,,,,,machine learning in evacuation research; human behavior in fire webinar series; predictive modeling in emergencies; evacuation dynamics simulations; pre-evacuation behavior studies; explainable artificial intelligence; variable importance and partial dependence plots; statistical vs. machine learning models; data-driven decision making; model generalization and applicability; data collection and processing challenges; integration of AI with traditional models; ML; AI; evacuation; modeling; simulation; algorithms; data; prediction; machine learning; validation; behavior; uncertainty; statistics; artificial intelligence,YouTube
A joyrney through the scales of fire phenomena with Sara McAllister,https://www.listennotes.com/podcasts/fire-science-show/014-a-joyrney-through-the-lO59SU8T2_b/,Fire Science Show,Sara McAllister,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,fire; combustion; wildland fire; combustion fundamentals; fire engineering; wildfire engineering; heat transfer; conduction; convection; radiation; wildland fire; forest ecology; pyrolysis; heat sinks; natural convection; flame spread; fire spread; fire growth; fire dynamics; thermal thickening; thermal thinning; fuel thickness; fuel bed; fuel type; wood crib; combustion research; paradigm shift; International Association for Wildland Fire; Early Career Award; IFSS; combustion;compartment fire; ventilation; air; heat; flame; turbulence; radiation; heat transfer; fire; forest; wildfire; Christmas tree; pine needle; fuel; fluid dynamics; convective heat transfer; crown fire; wildland fire; flame contact; radiant heat transfer; fuel bed; combustion; fire engineering; fire safety; fuel particles; combustion rate; fire growth; fire suppression; fire behavior; fire dynamics; fluid flow; combustion modeling; fire simulation; fire modeling; combustion simulation;forest; fire; PNAS; paper; Mark Finney; video; physics; mechanism; radiation; convection; buoyancy; temperature; fuel; combustion; ecology; natural process; ecosystem; wind; terrain; topography; slope; gravity; King's Cross fire; PhD thesis; Mike Gullner; matchsticks; velocity; Rothermel's model; wildland fire; combustion scale; fire spread; scale issue; megafires; atmosphere; bouillon plume; physics,Pod
